Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Population density (people per sq. km of land area),EN.POP.DNST,Vanuatu,VUT,12.37752256,15.75668581,21.61886792,22.14331419,22.67744053,23.23363413,23.80959803,24.38867925,24.97161608,25.56890894,26.1802297,..
Population density (people per sq. km of land area),EN.POP.DNST,"Venezuela, RB",VEN,22.39167734,27.6942679,33.82803809,34.2307783,34.61222833,34.85229182,34.65045406,33.81401621,32.84585114,32.30026983,31.97082592,..
Population density (people per sq. km of land area),EN.POP.DNST,Viet Nam,VNM,205.5750192,253.9739664,288.3885786,291.1421414,294.1812351,297.1614298,300.0387616,302.825616,305.5770717,308.3591021,310.9732316,..
Population density (people per sq. km of land area),EN.POP.DNST,Virgin Islands (U.S.),VIR,297.0371429,310.4057143,308.6885714,308.2342857,307.7485714,307.1885714,306.5171429,305.7171429,304.7685714,303.6857143,302.4857143,..
Population density (people per sq. km of land area),EN.POP.DNST,West Bank and Gaza,PSE,328.6126246,485.4074751,677.1940199,693.2554817,709.317608,725.4299003,740.0008306,758.9845515,778.2900332,797.8852159,817.0537759,..
Population density (people per sq. km of land area),EN.POP.DNST,Yemen,YEM,25.33310794,35.28363354,51.10896831,52.56606247,54.0116768,55.44633597,56.88654469,58.31867909,59.75091577,61.1475008,62.46877853,..
Population density (people per sq. km of land area),EN.POP.DNST,Zambia,ZMB,10.33966155,13.30544667,20.49392109,21.17030495,21.85693916,22.55580651,23.26915078,23.99264585,24.72521422,25.46135272,26.19503222,..
Population density (people per sq. km of land area),EN.POP.DNST,Zimbabwe,ZWE,26.14422386,30.59241566,35.04051183,35.81686183,36.59024687,37.35996898,38.13131963,38.90961355,39.69137392,40.50579294,41.3429598,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,,
